NAME;LON;LAT;F_MHZ;CHANNEL;H_TRAN;POLARIZ;ERP_0;ERP_10;ERP_20;ERP_30;ERP_40;ERP_50;ERP_60;ERP_70;ERP_80;ERP_90;ERP_100;ERP_110;ERP_120;ERP_130;ERP_140;ERP_150;ERP_160;ERP_170;ERP_180;ERP_190;ERP_200;ERP_210;ERP_220;ERP_230;ERP_240;ERP_250;ERP_260;ERP_270;ERP_280;ERP_290;ERP_300;ERP_310;ERP_320;ERP_330;ERP_340;ERP_350
Ignalina;26,175556;55,337778;690;48;68;H;28,8;28,3;27,8;26,3;25,8;25,8;26,3;27,8;28,3;28,8;28,3;27,8;26,3;25,8;25,8;26,3;27,8;28,3;28,8;28,3;27,8;26,3;25,8;25,8;26,3;27,8;28,3;28,8;28,3;27,8;26,3;25,8;25,8;26,3;27,8;28,3
Ignalina;26,175556;55,337778;826;65;68;H;28,0;28,0;27,8;27,0;26,0;26,0;27,0;27,8;28,0;28,0;28,0;27,8;27,0;26,0;26,0;27,0;27,8;28,0;28,0;28,0;27,8;27,0;26,0;26,0;27,0;27,8;28,0;28,0;28,0;27,8;27,0;26,0;26,0;27,0;27,8;28,0
Joniškis;23,575833;56,212222;762;57;103;H;27,6;27,3;25,9;27,6;29,0;28,1;25,9;26,0;27,3;27,6;27,3;25,9;27,6;29,0;28,1;25,9;26,1;27,3;27,6;27,3;25,9;27,6;29,0;28,1;25,9;26,1;27,3;27,6;27,3;25,9;27,6;29,0;28,1;25,9;26,1;27,3
Juragiai;23,797222;54,801667;506;25;228;H;31,0;31,0;31,0;30,8;30,6;30,3;30,1;29,5;29,2;28,5;28,3;27,8;27,5;27,1;27,3;27,8;28,1;28,3;28,3;28,3;28,3;28,3;28,1;27,8;27,3;27,1;27,5;27,8;28,3;28,5;29,2;29,5;30,1;30,3;30,6;30,8
Jurbarkas;22,768889;55,086944;658;44;69;H;26,1;25,0;25,1;23,8;23,1;23,1;23,8;24,6;25,8;26,1;25,8;25,1;23,8;23,1;23,1;23,8;24,6;25,8;26,1;25,8;25,1;23,8;23,1;23,1;23,8;24,6;25,8;26,1;25,8;25,1;23,8;23,1;23,1;23,8;24,6;25,8
Kalvarija;23,225000;54,396389;570;33;83;H;25,3;25,8;24,7;22,8;24,5;26,2;23,9;21,8;23,9;25,6;25,6;24,8;25,1;26,5;27,0;24,1;24,5;26,5;26,3;24,5;23,6;22,3;21,1;22,4;20,1;21,0;23,9;24,5;25,9;26,5;25,1;24,5;27,0;26,7;24,5;24,0
Kalvarija;23,225000;54,396389;658;44;83;H;24,5;25,0;23,9;22,0;23,5;24,9;23,3;21,3;23,1;25,3;25,0;23,8;23,9;25,8;26,4;24,5;23,3;25,2;25,0;23,9;22,7;20,4;20,1;21,3;19,5;19,5;22,7;24,3;25,3;25,4;23,9;24,3;26,4;26,0;23,5;22,7
Kaunas (Juragiai);23,796944;54,804167;570;33;234;H;39,8;39,1;39,8;42,0;42,2;40,3;39,0;39,8;39,3;39,4;41,7;42,3;40,8;39,0;39,7;39,5;39,1;41,3;42,4;41,3;39,1;39,5;39,7;38,9;40,8;42,3;41,7;39,4;39,3;39,8;39,0;40,3;42,2;41,9;39,8;39,1
Kaunas (Juragiai);23,797222;54,801667;658;44;234;H;42,7;39,6;36,9;41,7;42,2;38,1;38,2;42,5;40,7;36,1;41,1;42,5;39,2;36,9;42,2;41,6;36,1;40,2;42,6;40,2;36,1;41,6;42,2;36,9;39,2;42,5;41,1;36,1;40,7;42,6;38,2;38,1;42,2;41,7;36,9;39,6
Kaunas (Juragiai);23,796944;54,804167;778;59;234;H;43,5;41,8;40,5;41,5;41,8;40,8;41,5;43,3;42,2;40,5;41,5;42,0;41,0;41,0;43,0;42,5;41,5;41,0;42,0;41,0;40,5;42,5;43,0;41,0;41,0;42,0;41,5;40,5;42,0;43,3;41,5;41,0;41,7;41,5;40,5;42,0
Kaunas (Juragiai);23,796944;54,804167;786;60;234;H;43,5;41,8;40,5;41,5;41,8;40,8;41,5;43,3;42,2;40,5;41,5;42,0;41,0;41,0;43,0;42,5;41,5;41,0;42,0;41,0;40,5;42,5;43,0;41,0;41,0;42,0;41,5;40,5;42,0;43,3;41,5;41,0;41,7;41,5;40,5;42,0
Kėdainiai;23,985833;55,265000;770;58;103;H;30,7;30,4;29,7;28,4;27,7;27,7;28,4;29,2;30,4;30,7;30,4;29,7;28,4;27,7;27,7;28,4;29,2;30,4;30,7;30,4;29,7;28,4;27,7;27,7;28,4;29,2;30,4;30,7;30,4;29,7;28,4;27,7;27,7;28,4;29,2;30,4
Kėdainiai;23,985833;55,265000;778;59;103;H;30,6;30,3;29,6;28,3;27,6;27,6;28,3;29,1;30,3;30,6;30,3;29,6;28,3;27,6;27,6;28,3;29,1;30,3;30,6;30,3;29,6;28,3;27,6;27,6;28,3;29,1;30,3;30,6;30,3;29,6;28,3;27,6;27,6;28,3;29,1;30,3
Kėdainiai;23,985833;55,265000;802;62;103;H;31,1;30,8;30,1;28,8;28,1;28,1;28,8;29,6;30,8;31,1;30,8;30,1;28,8;28,1;28,1;28,8;29,6;30,8;31,1;30,8;30,1;28,8;28,1;28,1;28,8;29,6;30,8;31,1;30,8;30,1;28,8;28,1;28,1;28,8;29,6;30,8
Klaipėda (Giruliai);21,096667;55,768611;594;36;198;H;41,0;40,5;38,7;39,2;40,7;40,7;39,5;39,2;40,3;41,5;40,3;39,2;39,5;40,7;40,7;39,2;38,7;40,5;41,0;40,5;40,0;39,3;37,5;33,5;30,5;28,5;27,0;26,5;27,0;28,5;30,5;33,5;37,5;39,3;40,0;40,5
Klaipėda (Giruliai);21,098889;55,768611;610;38;198;H;37,2;37,2;39,3;40,3;39,4;37,9;37,6;39,3;39,4;37,9;37,9;39,3;39,9;39,3;38,3;37,2;35,8;32,3;28,2;26,3;20,3;14,2;20,3;23,8;26,3;31,6;33,7;37,2;38,3;39,3;39,9;39,4;38,2;38,3;39,5;39,3
Klaipėda (Giruliai);21,096667;55,768611;730;53;198;H;41,0;40,5;38,7;39,2;40,7;40,7;39,5;39,2;40,3;41,5;40,3;39,2;39,5;40,7;40,7;39,2;38,7;40,5;41,0;40,5;40,0;39,3;37,5;33,5;30,5;28,5;27,0;26,5;27,0;28,5;30,5;33,5;37,5;39,3;40,0;40,5
Klaipėda (Giruliai);21,098889;55,768611;786;60;198;H;39,6;39,6;41,3;42,0;41,8;40,7;40,2;41,4;41,4;39,6;40,2;42,0;42,7;41,8;40,8;39,6;38,3;34,8;28,7;26,2;22,7;16,7;16,7;18,3;26,2;33,6;38,0;39,6;40,8;41,7;42,2;42,0;40,8;40,0;41,4;41,4
Laukuva;22,342778;55,575556;594;36;95;H;27,8;27,8;27,6;26,8;25,8;25,8;26,8;27,6;27,8;27,8;27,8;27,6;26,8;25,8;25,8;26,8;27,6;27,8;27,8;27,8;27,6;26,8;25,8;25,8;26,8;27,6;27,8;27,8;27,8;27,6;26,8;25,8;25,8;26,8;27,6;27,8
